image_url,name_de,g_index,g_load,name_ru,name_en
https://glycemic-index.net/images/ahwW0uM2TL_small.webp,"Acerola, Barbados Cherry (frisch)",20,0.1,"Ацерола, Барбадосская вишня (свежая)","Acerola, Barbados Cherry (fresh)"
https://glycemic-index.net/images/3CjoGLpDIo_small.webp,Agavendicksaft),15,11.4,"Сироп агавы","Agave syrup"
https://glycemic-index.net/images/siKCB3r6Mn_small.webp,Ahornsirup,55,36.9,"Кленовый сироп","Maple syrup"
https://glycemic-index.net/images/Q3vMG1G5AY_small.webp,Amaranth-Samen (nicht zubereitet),35,19.9,"Семена амаранта (неприготовленные)","Amaranth seeds (uncooked)"
https://glycemic-index.net/images/hnzha4PdAG_small.webp,Ananassaft (ungesüßt),50,6.8,"Ананасовый сок (без сахара)","Pineapple juice (unsweetened)"
https://glycemic-index.net/images/RlpJpCHZ8S_small.webp,Ananassaft (zuckerfrei),50,6.4,"Ананасовый сок (без сахара)","Pineapple juice (sugar-free)"
https://glycemic-index.net/images/4dG70P8zfH_small.webp,Apfelmus (ungesüßt),35,4.0,"Яблочное пюре (без сахара)","Apple sauce (unsweetened)"
https://glycemic-index.net/images/cCXy8qeuwb_small.webp,Apfelsaft,41,4.5,"Яблочный сок","Apple juice"
https://glycemic-index.net/images/Ijd1kHiuj4_small.webp,Apfelsaft (ungesüßt),40,4.9,"Яблочный сок (без сахара)","Apple juice (unsweetened)"
https://glycemic-index.net/images/ogjwI69crE_small.webp,Apfelsaft (zuckerfrei),50,5.7,"Яблочный сок (без сахара)","Apple juice (sugar-free)"
https://glycemic-index.net/images/BFIlOPnZz4_small.webp,Apfelwein (brut),40,0.0,"Яблочное вино (брют)","Apple wine (brut)"
https://glycemic-index.net/images/fRjqU7PTwF_small.webp,Aprikose,34,3.8,"Абрикос","Apricot"
https://glycemic-index.net/images/1d4bn58WAS_small.webp,Artischocke,20,1.2,"Артишок","Artichoke"
https://glycemic-index.net/images/O6NyLgxze9_small.webp,Aubergine,20,1.7,"Баклажан","Eggplant"
https://glycemic-index.net/images/tRgdkRxZGX_small.webp,Auberginenkaviar,40,5.3,"Баклажанная икра","Eggplant caviar"
https://glycemic-index.net/images/8peopoG2xe_small.webp,Avocado,10,0.9,"Авокадо","Avocado"
https://glycemic-index.net/images/iNGuJRk9Dz_small.webp,Azuki-Bohnen,35,22.0,"Бобы адзуки","Azuki beans"
https://glycemic-index.net/images/2IvNNiERsz_small.webp,Balsamico Essig,5,2.8,"Бальзамический уксус","Balsamic vinegar"
https://glycemic-index.net/images/9Z0EIjkt2b_small.webp,Bambussprossen,20,1.0,"Побеги бамбука","Bamboo shoots"
https://glycemic-index.net/images/yDbX2xGsd8_small.webp,Banane,48,10.1,"Банан","Banana"
https://glycemic-index.net/images/OHYOEJA4T3_small.webp,Bananen (getrocknet),48,42.4,"Бананы (сушеные)","Bananas (dried)"
https://glycemic-index.net/images/GFjQzLnAXd_small.webp,Bananenkuchen,47,17.1,"Банановый торт","Banana cake"
https://glycemic-index.net/images/2WVqoUvNGi_small.webp,Basilikum,5,0.1,"Базилик","Basil"
https://glycemic-index.net/images/vTHpg7HtmV_small.webp,Basmati-Reis,50,37.5,"Рис басмати","Basmati rice"
https://glycemic-index.net/images/TGY0LIR1Re_small.webp,Birne (frisches Obst),30,4.7,"Груша (свежий фрукт)","Pear (fresh fruit)"
https://glycemic-index.net/images/jNPZAM6f5s_small.webp,Birnen (getrocknet),43,26.9,"Груши (сушеные)","Pears (dried)"
https://glycemic-index.net/images/GGH43X4dE9_small.webp,Birnensaft,50,5.5,"Грушевый сок","Pear juice"
https://glycemic-index.net/images/4Wfxb8Baom_small.webp,Blaubeere,25,2.0,"Черника","Blueberry"
https://glycemic-index.net/images/Ub9RWxuI2j_small.webp,Blaubeeren,53,4.0,"Черника","Blueberries"
https://glycemic-index.net/images/BXiDyNCRUt_small.webp,Blumenkohl,15,0.8,"Цветная капуста","Cauliflower"
https://glycemic-index.net/images/5GaqMbIM19_small.webp,Blumenkohl (frisch),15,0.8,"Цветная капуста (свежая)","Cauliflower (fresh)"
https://glycemic-index.net/images/NOL4NTt5Ht_small.webp,Bohnen (frisch),35,5.9,"Бобы (свежие)","Beans (fresh)"
